tracking_id	DMSO_CT00_0	DMSO_CT24_0	DMSO_CT04_0	DMSO_CT28_0	DMSO_CT08_0	DMSO_CT32_0	DMSO_CT12_0	DMSO_CT36_0	DMSO_CT16_0	DMSO_CT40_0	DMSO_CT20_0	DMSO_CT44_0
XLOC_004911	0	0	0	0	0	0	0	0	0	0	0	0
XLOC_004912	0	0	0	0	0	0	0	0	0	0	0	0
XLOC_004913	7.92278	7.93604	7.63487	8.22545	5.35432	6.62061	6.83529	6.99494	7.0658	6.93942	7.90214	6.41113
XLOC_004914	0	0	0	0	0	0	0	0	0	0	0	0
XLOC_004915	0	0	0	0	0	0	0	0	0	0	0	0
XLOC_004916	0	0	0	0	0	0	0	0.104226	0	0	0	0
XLOC_004917	0	0.4962	0.86289	0.363031	0	0	0	0	0.0745263	0	0	0
XLOC_004918	0	0	0	0	0	0	0	0	0	0.386571	0	0.318222
XLOC_004919	0.236729	0.163049	0.234749	0.172894	0.451051	0.287869	0.158324	0.254208	0.28005	0.210456	0.135923	0.220308
XLOC_004920	0	0	0	0	0	0	0	0	0	0	0	0
XLOC_004921	0.845972	1.65642	2.60576	1.08431	1.34989	0.768999	0.634655	1.00159	1.53491	1.12538	0.654084	0.780128
XLOC_004922	57.6162	34.4033	50.1511	36.8774	41.3172	27.8281	51.5283	33.2412	41.8963	28.5103	43.8291	27.2323
XLOC_004923	0	0	0.594746	0	0	0	0	0	0	0	0	0
XLOC_004924	1.51761	3.24951	4.11631	1.68534	2.36449	1.76391	2.22601	1.66325	2.90179	1.46406	0.965357	2.21397
XLOC_004925	0	0	0.0750561	0.0385812	0	0	0	0	0.0714184	0	0	0
XLOC_004926	0.707185	1.63974	1.16693	1.91948	3.58444	2.2729	0.795803	1.48018	1.7766	1.33686	0.820166	1.83415
XLOC_004927	38.1349	35.4387	38.9272	36.1966	36.4046	37.1243	38.0771	36.1532	34.6208	37.7168	33.6507	35.4972
XLOC_004928	0	0	0	0	0	0	0	0	0	0	0	0
XLOC_004929	66.4449	62.1512	59.0566	67.1182	67.1333	64.8605	72.647	69.9675	61.2922	55.0719	63.1952	70.4991
XLOC_004930	25.6277	28.8912	31.7369	26.6785	29.5576	33.0121	30.8985	18.4556	27.424	30.2693	29.4985	37.4191
XLOC_004931	0	0	0	0	0	0	0	0	0	0.0775737	0	0
XLOC_004932	9.98697	7.56698	6.79954	6.77654	8.54617	7.55108	7.82782	6.63387	8.17172	7.2929	8.17195	7.6222
XLOC_004933	2.57634	2.28097	2.5971	2.53468	3.02973	2.16248	3.16381	2.53304	2.63573	2.32471	2.81677	2.68012
XLOC_004934	0	0	0	0	0	0	0	0	0	0	0	0
XLOC_004935	25.8502	24.4859	25.1938	27.048	31.8834	24.9532	31.1412	26.8146	28.6197	26.597	28.5805	25.9775
XLOC_004936	15.8874	10.6208	14.0272	13.5807	15.5127	11.7557	17.4913	13.9765	14.1248	12.2864	11.5658	10.8097
XLOC_004937	12.4959	14.3377	13.1512	13.7825	11.1728	13.3748	13.8202	13.6289	13.6195	12.8799	11.8196	11.7164
XLOC_004938	12.6964	13.6819	11.6088	12.4111	11.3849	10.8706	11.8282	12.3763	10.376	10.394	11.285	11.7143
XLOC_004939	35.8737	40.2	32.5512	34.4771	35.6002	33.8305	34.9676	33.7917	34.7518	31.9581	35.8797	34.8156
XLOC_004940	61.3478	65.266	60.7381	63.0547	55.3812	63.0881	73.3219	66.8344	60.8163	62.5335	68.3586	60.5247
